日期,目標股,趨勢延續分數,趨勢延續分數_100,趨勢延續標籤,信心,主要貢獻1,收盤價,5日均線,20日均線,均線排列,均線濾網,均線濾網註記
2026-09-11,3324.TW,0.098,9.8,方向不明/觀望,納入 9 檔關聯股；其中天數樣本最少的一檔為 231 天（樣本充足（>200，具統計意義））,建準,1360.0,1380.0,1204.2,多頭排列,,非強烈訊號，不套用均線濾網
2026-09-11,3017.TW,0.243,24.3,弱偏多延續,納入 9 檔關聯股；其中天數樣本最少的一檔為 242 天（樣本充足（>200，具統計意義））,建準,3370.0,3388.0,3237.25,多頭排列,,非強烈訊號，不套用均線濾網
2026-09-11,3653.TW,0.199,19.9,弱偏多延續,納入 9 檔關聯股；其中天數樣本最少的一檔為 240 天（樣本充足（>200，具統計意義））,建準,5765.0,5707.0,5606.5,多頭排列,,非強烈訊號，不套用均線濾網
2026-09-11,3081.TW,0.457,45.7,中度偏多延續,納入 12 檔關聯股；其中天數樣本最少的一檔為 243 天（樣本充足（>200，具統計意義））,Sumitomo Electric,2810.0,2917.0,3048.75,空頭排列,,非強烈訊號，不套用均線濾網
2026-09-11,2455.TW,0.408,40.8,中度偏多延續,納入 12 檔關聯股；其中天數樣本最少的一檔為 240 天（樣本充足（>200，具統計意義））,Sumitomo Electric,515.0,523.0,467.8,多頭排列,,非強烈訊號，不套用均線濾網
2026-09-11,4991.TW,0.356,35.6,弱偏多延續,納入 12 檔關聯股；其中天數樣本最少的一檔為 241 天（樣本充足（>200，具統計意義））,Sumitomo Electric,448.5,486.3,495.7,空頭排列,,非強烈訊號，不套用均線濾網
2026-09-11,4971.TW,0.39,39.0,弱偏多延續,納入 12 檔關聯股；其中天數樣本最少的一檔為 245 天（樣本充足（>200，具統計意義））,Sumitomo Electric,550.0,602.6,586.4,多頭排列,,非強烈訊號，不套用均線濾網
2026-09-11,3105.TW,0.348,34.8,弱偏多延續,納入 12 檔關聯股；其中天數樣本最少的一檔為 242 天（樣本充足（>200，具統計意義））,Mitsubishi Electric,437.5,451.0,423.57,多頭排列,,非強烈訊號，不套用均線濾網
2026-09-11,8086.TW,0.332,33.2,弱偏多延續,納入 12 檔關聯股；其中天數樣本最少的一檔為 234 天（樣本充足（>200，具統計意義））,Mitsubishi Electric,106.0,110.6,114.58,空頭排列,,非強烈訊號，不套用均線濾網
2026-09-11,3363.TW,0.532,53.2,中度偏多延續,納入 12 檔關聯股；其中天數樣本最少的一檔為 242 天（樣本充足（>200，具統計意義））,,681.0,713.8,682.0,多頭排列,,非強烈訊號，不套用均線濾網
2026-09-11,3163.TW,0.476,47.6,中度偏多延續,納入 12 檔關聯股；其中天數樣本最少的一檔為 241 天（樣本充足（>200，具統計意義））,,670.0,720.2,742.05,空頭排列,,非強烈訊號，不套用均線濾網
2026-09-11,4979.TW,0.563,56.3,中度偏多延續,納入 12 檔關聯股；其中天數樣本最少的一檔為 244 天（樣本充足（>200，具統計意義））,,531.0,589.4,585.15,多頭排列,,非強烈訊號，不套用均線濾網
2026-09-11,3450.TW,0.377,37.7,弱偏多延續,納入 12 檔關聯股；其中天數樣本最少的一檔為 241 天（樣本充足（>200，具統計意義））,Sumitomo Electric,512.0,534.6,565.35,空頭排列,,非強烈訊號，不套用均線濾網
2026-09-11,4977.TW,0.538,53.8,中度偏多延續,納入 12 檔關聯股；其中天數樣本最少的一檔為 240 天（樣本充足（>200，具統計意義））,,175.0,175.7,165.58,多頭排列,,非強烈訊號，不套用均線濾網
2026-09-11,6451.TW,0.619,61.9,中度偏多延續,納入 12 檔關聯股；其中天數樣本最少的一檔為 244 天（樣本充足（>200，具統計意義））,,409.5,432.5,440.2,空頭排列,,非強烈訊號，不套用均線濾網
2026-09-11,3711.TW,0.44,44.0,中度偏多延續,納入 12 檔關聯股；其中天數樣本最少的一檔為 233 天（樣本充足（>200，具統計意義））,Mitsubishi Electric,618.0,627.4,603.85,多頭排列,,非強烈訊號，不套用均線濾網
2026-09-11,2330.TW,0.482,48.2,中度偏多延續,納入 12 檔關聯股；其中天數樣本最少的一檔為 230 天（樣本充足（>200，具統計意義））,Mitsubishi Electric,2410.0,2454.0,2411.75,多頭排列,,非強烈訊號，不套用均線濾網
2026-09-11,3008.TW,-0.414,-41.4,中度偏空延續,納入 4 檔關聯股；其中天數樣本最少的一檔為 240 天（樣本充足（>200，具統計意義））,今國光,6660.0,6686.0,6471.5,多頭排列,,非強烈訊號，不套用均線濾網
2026-09-11,3362.TW,-0.317,-31.7,弱偏空延續,納入 4 檔關聯股；其中天數樣本最少的一檔為 239 天（樣本充足（>200，具統計意義））,今國光,179.5,185.8,192.7,空頭排列,,非強烈訊號，不套用均線濾網
2026-09-11,3406.TW,-0.42,-42.0,中度偏空延續,納入 4 檔關聯股；其中天數樣本最少的一檔為 244 天（樣本充足（>200，具統計意義））,亞光,1060.0,1053.4,877.5,多頭排列,,非強烈訊號，不套用均線濾網
